model,MAE,RMSE,R2
Ridge,4.211112826071163,5.390417574427311,0.8805917946912825
KNN,5.552264517558216,7.12785791098887,0.7912110936899124
RandomForest,4.531920524852785,5.93777539844525,0.8551105099631556
AdaBoost,4.6261730184423495,5.9729881487956415,0.85338694005692
