iter	Passed	Remaining
445	1177	1462
446	1179	1458
447	1181	1455
448	1182	1451
449	1184	1448
450	1187	1445
451	1190	1443
452	1192	1440
453	1194	1436
454	1196	1433
455	1198	1429
456	1200	1426
457	1203	1424
458	1206	1421
459	1208	1418
460	1209	1414
461	1211	1411
462	1213	1407
463	1217	1406
464	1219	1403
465	1221	1400
466	1223	1396
467	1225	1393
468	1227	1389
469	1231	1388
470	1233	1385
471	1235	1381
472	1237	1378
473	1238	1374
474	1240	1371
475	1242	1367
476	1247	1367
477	1249	1364
478	1251	1360
479	1252	1357
480	1254	1353
481	1256	1350
482	1262	1351
483	1264	1347
484	1266	1344
485	1268	1341
486	1270	1338
487	1273	1336
488	1275	1332
489	1277	1329
490	1278	1325
491	1280	1321
492	1281	1318
493	1283	1314
494	1286	1312
495	1288	1309
496	1290	1306
497	1292	1303
498	1294	1300
499	1297	1297
500	1299	1294
501	1301	1291
502	1303	1288
503	1306	1285
504	1308	1282
505	1310	1279
506	1313	1277
507	1315	1274
508	1317	1271
509	1319	1267
510	1321	1264
511	1323	1261
512	1325	1258
513	1327	1255
514	1330	1252
515	1332	1249
516	1334	1246
517	1335	1243
518	1338	1240
519	1340	1237
520	1342	1234
521	1345	1232
522	1347	1228
523	1349	1225
524	1351	1222
525	1353	1219
526	1355	1216
527	1357	1213
528	1359	1210
529	1361	1207
530	1363	1204
531	1365	1201
532	1367	1198
533	1369	1195
534	1371	1192
535	1373	1189
536	1375	1186
537	1377	1183
538	1379	1180
539	1381	1176
540	1383	1173
541	1386	1171
542	1388	1168
543	1391	1166
544	1392	1162
545	1395	1160
546	1396	1156
547	1398	1153
548	1401	1151
549	1404	1148
550	1406	1145
551	1407	1142
552	1409	1139
553	1411	1136
554	1414	1133
555	1417	1131
556	1419	1129
557	1422	1126
558	1424	1123
559	1426	1120
560	1427	1117
561	1430	1115
562	1433	1112
563	1434	1109
564	1437	1106
565	1439	1103
566	1441	1100
567	1446	1100
568	1448	1097
569	1450	1094
570	1452	1091
571	1454	1088
572	1457	1085
573	1459	1083
